0
"[[ 831]
 [  99]
 [ 233]
 [ 166]
 [ 133]
 [ 432]
 [  67]
 [ 332]
 [ 167]
 [  67]
 [ 366]
 [ 266]
 [ 365]
 [  99]
 [ 266]
 [ 199]
 [ 100]
 [ 166]
 [  99]
 [ 366]
 [ 166]
 [ 133]
 [ 266]
 [  66]
 [ 199]
 [ 166]
 [ 299]
 [ 199]
 [ 399]
 [  99]
 [  99]
 [ 199]
 [ 233]
 [ 399]
 [ 100]
 [ 166]
 [ 399]
 [ 199]
 [ 199]
 [ 233]
 [ 265]
 [ 134]
 [  66]
 [ 366]
 [  66]
 [ 100]
 [  99]
 [  66]
 [  66]
 [  99]
 [ 166]
 [ 232]
 [ 166]
 [  66]
 [ 265]
 [ 166]
 [  66]
 [  99]
 [ 199]
 [  66]
 [  99]
 [  99]
 [ 133]
 [ 133]
 [ 166]
 [ 166]
 [ 398]
 [ 166]
 [  99]
 [  99]
 [ 199]
 [ 299]
 [ 365]
 [  99]
 [ 232]
 [  66]
 [  69]
 [ 132]
 [ 102]
 [  66]
 [ 166]
 [ 532]
 [ 133]
 [  66]
 [  99]
 [  66]
 [ 233]
 [ 100]
 [ 133]
 [ 199]
 [ 100]
 [ 166]
 [ 266]
 [  66]
 [  99]
 [ 133]
 [  99]
 [ 366]
 [ 133]
 [ 166]
 [ 132]
 [ 200]
 [ 132]
 [ 199]
 [ 332]
 [ 100]
 [ 232]
 [  66]
 [  99]
 [ 300]
 [ 132]
 [ 266]
 [  66]
 [ 299]
 [  65]
 [  66]
 [ 166]
 [  99]
 [ 166]
 [ 100]
 [  67]
 [ 199]
 [  66]
 [ 166]
 [ 199]
 [ 232]
 [  99]
 [ 199]
 [  66]
 [ 332]
 [ 399]
 [  66]
 [ 132]
 [  66]
 [ 100]
 [ 232]
 [ 365]
 [  66]
 [ 165]
 [  99]
 [  66]
 [ 232]
 [ 199]
 [ 199]
 [ 166]
 [  99]
 [ 133]
 [ 233]
 [  99]
 [ 133]
 [  66]
 [ 365]
 [  66]
 [  99]
 [ 166]
 [  66]
 [  66]
 [ 133]
 [ 100]
 [ 166]
 [  99]
 [ 199]
 [  99]
 [  99]
 [  65]
 [ 132]
 [  99]
 [  66]
 [  98]
 [ 233]
 [ 233]
 [  99]
 [  96]
 [  99]
 [ 166]
 [  66]
 [ 166]
 [ 432]
 [  66]
 [ 200]
 [ 100]
 [  66]
 [ 166]
 [ 166]
 [  67]
 [  99]
 [  99]
 [ 165]
 [ 166]
 [  99]
 [ 266]
 [  99]
 [ 133]
 [  99]
 [ 266]
 [ 332]
 [  66]
 [  99]
 [ 166]
 [ 332]
 [  66]
 [  66]
 [ 167]
 [  66]
 [ 233]
 [ 166]
 [ 232]
 [ 332]
 [ 100]
 [ 101]
 [  99]
 [  99]
 [  66]
 [  99]
 [ 396]
 [ 165]
 [  66]
 [  99]
 [ 265]
 [ 166]
 [ 432]
 [ 166]
 [  62]
 [ 166]
 [ 133]
 [ 102]
 [  66]
 [  66]
 [ 133]
 [ 199]
 [ 166]
 [ 199]
 [  99]
 [ 166]
 [ 166]
 [  66]
 [ 166]
 [ 266]
 [ 133]
 [  66]
 [  99]
 [  66]
 [ 166]
 [ 332]
 [ 133]
 [  66]
 [ 100]
 [  66]
 [ 364]
 [  66]
 [ 100]
 [  66]
 [ 131]
 [ 133]
 [ 100]
 [ 166]
 [  99]
 [ 133]
 [ 166]
 [ 100]
 [ 232]
 [ 232]
 [ 306]
 [  99]
 [ 199]
 [ 266]
 [ 232]
 [ 198]
 [ 166]
 [ 100]
 [ 166]
 [ 133]
 [ 166]
 [  66]
 [ 232]
 [ 133]
 [ 166]
 [ 399]
 [ 165]
 [  98]
 [ 166]
 [ 133]
 [  66]
 [ 199]
 [ 199]
 [  99]
 [  99]
 [  99]
 [  99]
 [  66]
 [ 166]
 [ 231]
 [  99]
 [ 133]
 [ 266]
 [ 100]
 [ 498]
 [ 332]
 [ 166]
 [ 166]
 [  99]
 [ 132]
 [ 133]
 [  66]
 [ 237]
 [ 399]
 [ 365]
 [ 133]
 [ 166]
 [ 232]
 [  99]
 [ 133]
 [ 166]
 [  66]
 [  66]
 [ 266]
 [ 232]
 [  99]
 [ 399]
 [ 332]
 [  99]
 [ 132]
 [ 166]
 [ 199]
 [  99]
 [  99]
 [ 166]
 [ 332]
 [  99]
 [ 399]
 [ 166]
 [ 499]
 [ 299]
 [ 133]
 [  66]
 [ 133]
 [ 166]
 [ 299]
 [ 332]
 [  99]
 [ 165]
 [ 166]
 [ 365]
 [ 233]
 [ 167]
 [  99]
 [  66]
 [  99]
 [ 196]
 [ 132]
 [  99]
 [  99]
 [ 199]
 [  99]
 [ 133]
 [ 167]
 [  64]
 [ 199]
 [ 134]
 [  99]
 [  63]
 [ 166]
 [  66]
 [  66]
 [  66]
 [ 133]
 [ 133]
 [ 133]
 [ 698]
 [ 166]
 [ 232]
 [ 199]
 [ 233]
 [ 166]
 [ 398]
 [ 399]
 [ 299]
 [  66]
 [ 199]
 [ 232]
 [ 332]
 [ 133]
 [ 163]
 [ 166]
 [ 266]
 [ 133]
 [ 164]
 [ 133]
 [ 266]
 [  67]
 [ 465]
 [ 399]
 [  99]
 [  99]
 [ 565]
 [ 132]
 [  99]
 [  99]
 [ 166]
 [ 133]
 [ 233]
 [ 299]
 [ 133]
 [  99]
 [ 332]
 [ 166]
 [ 102]
 [ 131]
 [ 232]
 [ 100]
 [ 432]
 [ 266]
 [  66]
 [ 132]
 [ 266]
 [ 133]
 [  99]
 [  99]
 [  99]
 [ 198]
 [ 100]
 [ 199]
 [ 232]
 [ 565]
 [ 166]
 [  99]
 [ 134]
 [ 199]
 [ 166]
 [ 232]
 [  99]
 [  67]
 [ 133]
 [ 499]
 [ 166]
 [ 166]
 [ 365]
 [  99]
 [  99]
 [  99]
 [ 200]
 [ 133]
 [  66]
 [ 166]
 [ 465]
 [ 233]
 [ 432]
 [ 133]
 [ 133]
 [  99]
 [  99]
 [ 166]
 [ 898]
 [ 234]
 [1298]
 [  99]
 [ 333]
 [  65]
 [ 199]
 [ 230]
 [ 232]
 [ 133]
 [  66]
 [  99]
 [ 332]
 [ 166]
 [ 132]
 [ 299]
 [ 299]
 [ 731]
 [ 366]
 [ 366]
 [ 266]
 [ 166]
 [  99]
 [ 132]
 [  66]
 [ 134]
 [ 133]
 [  99]
 [ 830]
 [ 798]
 [ 332]
 [  99]
 [ 100]
 [ 166]
 [ 166]
 [ 300]
 [ 133]
 [ 332]
 [ 199]
 [ 199]
 [ 398]
 [ 465]
 [ 465]
 [ 166]
 [ 432]
 [ 598]
 [ 166]
 [ 199]
 [ 299]
 [ 132]
 [  99]
 [ 199]
 [ 466]
 [ 931]
 [ 432]
 [ 302]
 [ 466]
 [  99]
 [ 166]
 [ 732]
 [ 234]
 [  99]
 [1933]
 [  99]
 [1499]
 [ 498]
 [  99]
 [  66]
 [ 698]
 [ 132]
 [ 299]
 [ 232]
 [  99]
 [ 332]
 [ 465]
 [  99]
 [ 133]
 [  99]
 [ 166]
 [ 132]
 [ 267]
 [ 565]
 [ 232]
 [ 532]
 [ 100]
 [ 133]
 [ 232]
 [1098]
 [  99]
 [  67]
 [ 133]
 [  66]
 [  99]
 [  99]
 [ 166]
 [  66]
 [  99]
 [ 299]
 [  99]
 [ 133]
 [  99]
 [ 132]
 [ 232]
 [ 133]
 [ 132]
 [ 265]
 [ 166]
 [  99]
 [ 233]
 [ 266]
 [  99]
 [  66]
 [ 266]
 [ 133]
 [ 132]
 [ 332]
 [ 199]
 [  99]
 [ 133]
 [ 133]
 [  99]
 [ 166]
 [ 199]
 [ 100]
 [  66]
 [ 665]
 [ 399]
 [  99]
 [ 100]
 [ 232]]"
"[[399]
 [433]
 [ 66]
 [232]
 [365]
 [332]
 [432]
 [332]
 [332]
 [399]
 [266]
 [332]
 [ 99]
 [299]
 [ 66]
 [ 66]
 [432]
 [299]
 [432]
 [ 99]
 [365]
 [332]
 [233]
 [ 66]
 [166]
 [200]
 [332]
 [200]
 [266]
 [166]
 [432]
 [399]
 [166]
 [465]
 [332]
 [133]
 [101]
 [399]
 [ 66]
 [266]
 [499]
 [ 66]
 [233]
 [332]
 [499]
 [ 99]
 [266]
 [465]
 [266]
 [432]
 [266]
 [299]
 [233]
 [ 99]
 [202]
 [233]
 [299]
 [266]
 [ 99]
 [ 99]
 [366]
 [165]
 [ 99]
 [101]
 [ 99]
 [132]
 [199]
 [266]
 [499]
 [133]
 [100]
 [ 66]
 [166]
 [166]
 [134]
 [ 99]
 [131]
 [165]
 [232]
 [166]
 [399]
 [332]
 [266]
 [ 66]
 [465]
 [199]
 [266]
 [266]
 [266]
 [166]
 [166]
 [132]
 [ 99]
 [ 99]
 [232]
 [199]
 [ 66]
 [ 99]
 [ 70]
 [132]
 [132]
 [166]
 [233]
 [100]
 [466]
 [ 99]
 [ 99]
 [165]
 [ 66]
 [100]
 [ 99]
 [432]
 [165]
 [366]
 [232]
 [432]
 [199]
 [133]
 [632]
 [ 99]
 [ 99]
 [ 99]
 [199]
 [133]
 [ 66]
 [166]
 [133]
 [533]
 [499]
 [132]
 [ 99]
 [264]
 [166]
 [266]
 [166]
 [399]
 [199]
 [ 66]
 [100]
 [399]
 [166]
 [133]
