0
"[[63.6 51.2  4.   3. ]
 [67.5 48.3  0.   6. ]
 [69.1 49.6  4.   6. ]
 ...
 [87.2 64.4  7.   6. ]
 [89.6 68.2  3.   1. ]
 [87.8 65.9  6.   9. ]]"
"[[ 63.6  51.2   4.    3. ]
 [ 67.5  48.3   0.    6. ]
 [ 69.1  49.6   4.    6. ]
 ...
 [ 94.   64.7   3.   15. ]
 [ 98.3  69.4   4.    8. ]
 [100.2  77.4   2.    6. ]]"
"[[ 92.5  72.2  34.   50. ]
 [101.  102.3   2.    7. ]
 [ 97.1  97.9  14.   17. ]
 [ 92.7  68.   58.    7. ]
 [ 97.8  73.   11.   40. ]
 [ 99.4  69.3  50.    6. ]
 [ 99.5  71.8  18.    8. ]
 [101.8  74.2   2.    2. ]
 [103.   77.5   2.   10. ]
 [103.4  79.3  49.   11. ]
 [ 95.6  73.    3.    5. ]
 [103.1  75.9   5.   10. ]
 [104.4  77.4   3.    5. ]
 [101.   81.    1.    4. ]
 [103.2  81.    4.    3. ]
 [107.7  80.    3.    5. ]
 [112.   80.6   4.    7. ]
 [113.5  82.8   3.    1. ]
 [110.5  88.8   2.    5. ]
 [102.1  84.7   7.    6. ]
 [106.3  89.    2.    2. ]
 [107.3  88.1  16.    7. ]
 [105.3  87.5   1.    0. ]
 [103.3  86.8  25.   13. ]
 [103.7  83.3   0.    2. ]
 [ 97.3  77.4   3.    6. ]
 [ 97.   82.2   3.    5. ]
 [ 99.4  88.5   7.    5. ]
 [103.8  87.8   5.    3. ]
 [109.8  90.4   1.    3. ]
 [111.1  92.5  27.   19. ]
 [111.6  89.9   3.    4. ]
 [107.   84.4   2.    4. ]
 [102.2  79.5   8.    3. ]
 [108.3  90.3  17.    8. ]
 [109.   82.8  12.    4. ]
 [109.4  83.9   9.    1. ]
 [108.9  84.7  19.    8. ]
 [111.6  86.1  26.    8. ]
 [113.3  93.3  27.   13. ]
 [111.5  86.    7.    3. ]
 [110.9  88.7  59.    9. ]
 [112.8  91.1  47.    7. ]
 [112.   89.9  20.    2. ]
 [109.8  91.8  24.    7. ]
 [107.1  88.9  17.    7. ]
 [106.6  95.3  39.    5. ]
 [112.8  89.9   3.    4. ]
 [106.2  91.8   4.    7. ]
 [113.   89.1   4.    7. ]
 [113.   88.1   2.    6. ]
 [108.3  94.1   6.    9. ]
 [109.6  98.6   1.    5. ]
 [108.2  98.6   5.    5. ]
 [114.7  92.4   2.    8. ]
 [114.8  97.    7.   11. ]
 [111.2  95.7   8.    7. ]
 [113.   90.5   3.    6. ]
 [104.7  82.7   0.    0. ]
 [ 99.3  79.8   2.    2. ]
 [103.7  82.9   4.    8. ]
 [111.8  87.4   6.    8. ]
 [111.3  88.    1.    4. ]
 [112.   88.    1.    2. ]
 [111.3  87.1   2.    7. ]
 [111.3  87.3   5.    6. ]
 [108.   87.1   2.    3. ]
 [107.1  86.1   8.    5. ]
 [113.3  86.7   3.   18. ]
 [113.   87.4   2.    3. ]
 [113.3  94.7   3.    8. ]
 [114.8  94.    8.    5. ]
 [115.5  95.5  31.   12. ]
 [117.7  97.4   5.   11. ]
 [111.   91.2  15.    9. ]
 [110.2  90.8  42.    5. ]
 [114.7  94.   20.    7. ]
 [114.3  93.5   2.    5. ]
 [113.2  92.7  15.   16. ]
 [114.3  96.    1.    5. ]
 [115.   96.9   5.    5. ]
 [108.4  98.6  15.   14. ]
 [105.4  99.6   8.   10. ]
 [107.7  96.8   7.    2. ]
 [114.5  94.3   2.   14. ]
 [114.   91.8   4.    4. ]
 [107.5  84.    8.    6. ]
 [104.7  83.1  55.   13. ]
 [110.9  87.9  25.    3. ]
 [111.4  87.6  16.    5. ]
 [112.   92.7   5.    3. ]
 [114.   92.3  43.   49. ]
 [114.3  89.8  11.    2. ]
 [112.6  92.1   4.    6. ]
 [114.   90.9   5.    5. ]
 [112.6  92.6   3.    5. ]
 [114.3  95.5  11.    4. ]
 [117.   97.1   4.    7. ]
 [110.1  87.6   3.   11. ]
 [103.7  85.7   0.    1. ]
 [111.8  93.1  14.    7. ]
 [114.4  94.9  11.    6. ]
 [112.5  97.    3.    6. ]
 [105.   89.6   4.    2. ]
 [105.1  91.6  14.    9. ]
 [110.4  95.    7.   14. ]
 [111.   96.6   6.    7. ]
 [112.5  96.    4.    3. ]
 [112.5  96.3   9.    9. ]
 [110.9  96.5   7.   11. ]
 [113.6  95.3  17.   11. ]
 [113.   98.    4.    2. ]
 [113.7  97.7   4.    7. ]
 [107.9  92.1   7.    6. ]
 [108.8  92.    6.    1. ]
 [114.   99.    2.    1. ]
 [114.9  98.2   7.   14. ]
 [112.8  99.8   4.    8. ]
 [113.8 101.   11.    9. ]
 [109.8  91.8   2.    4. ]
 [100.9  83.6   6.    6. ]
 [103.5  94.1   8.    3. ]
 [107.4  92.8  21.   11. ]
 [108.7  96.1   3.    7. ]
 [106.   96.    3.    5. ]
 [104.8  95.9   5.    8. ]
 [102.2  99.    6.    7. ]
 [100.3  99.7   1.    2. ]
 [ 94.   98.7   1.    3. ]
 [ 92.5  98.    0.    2. ]
 [ 92.   97.8  10.    5. ]
 [ 92.   98.7   5.    3. ]
 [108.1  98.2   6.    6. ]
 [108.3  97.3   9.    3. ]
 [109.3  98.6   7.    2. ]
 [105.1 101.4   6.    6. ]
 [ 97.  102.5   0.    2. ]
 [108.7  93.3   4.    9. ]
 [109.1  89.8   3.    5. ]
 [111.7  92.7   8.    9. ]
 [112.9  92.2  20.    9. ]
 [113.3  92.8   6.    4. ]
 [112.1  96.8   3.    7. ]
 [112.6 101.3   5.   13. ]
 [115.  102.4   1.    5. ]
 [114.6 104.    4.    5. ]
 [116.2 103.9   6.   14. ]
 [115.3 105.1  27.    8. ]
 [117.7 103.7   5.    6. ]
 [112.6  94.   19.    5. ]
 [108.5  90.7   2.    9. ]
 [107.6  91.1  37.   18. ]
 [113.  101.4   5.   13. ]
 [114.9 102.6   3.   20. ]
 [105.6  82.3   4.    6. ]
 [107.4  84.3   2.    4. ]
 [109.7  90.4   5.    2. ]
 [112.   94.8   6.    3. ]
 [114.5  98.6  18.    4. ]
 [116.   94.6   5.   10. ]
 [117.   95.2  11.    5. ]
 [116.3  87.8   4.    8. ]
 [115.9  85.6   4.    3. ]
 [115.8  91.5  15.    5. ]
 [114.9  91.5   7.   15. ]
 [114.4  94.5   5.    3. ]
 [118.6 101.1   4.    8. ]
 [118.2  99.    2.    2. ]
 [117.   97.3   0.    5. ]
 [117.5  82.    1.    5. ]
 [117.7  82.    2.   11. ]
 [116.3  96.7   1.    1. ]
 [116.8  95.   12.    5. ]
 [119.8 100.    2.    2. ]
 [120.3 103.    1.    0. ]
 [116.9  95.7  12.   75. ]
 [118.   98.8   2.   14. ]
 [115.8  96.4  28.    7. ]
 [116.   95.9  17.    2. ]
 [115.3  94.   23.    6. ]
 [115.   93.8   7.    1. ]
 [115.   96.7   9.    5. ]
 [116.   96.6  37.   19. ]
 [116.3  94.1  18.    6. ]
 [113.2  89.7  36.   43. ]
 [ 89.1  67.    4.    8. ]]"
"[[84.  65.   3.   1. ]
 [84.  63.7 34.  22. ]
 [83.  61.5  2.   1. ]
 ...
 [96.5 81.   4.   5. ]
 [97.2 83.  10.  12. ]
 [98.8 83.  14.  13. ]]"
"[[71.3 68.   1.   9. ]
 [69.5 52.7 23.  15. ]
 [69.1 52.3  4.   4. ]
 ...
 [87.1 60.3 23.  13. ]
 [90.  62.3  4.   4. ]
 [76.6 54.9 21.   8. ]]"
"[[66.8 50.5 43.  54. ]
 [68.3 52.  15.   4. ]
 [74.5 56.2 44.  12. ]
 ...
 [60.  43.   1.   0. ]
 [65.1 44.6  1.   3. ]
 [70.8 64.7  3.  15. ]]"
"[[ 81.   61.    3.    0. ]
 [ 79.   61.    7.    2. ]
 [ 81.   72.    0.    1. ]
 [ 88.5  66.5   5.    1. ]
 [ 77.   59.    4.    0. ]
 [ 86.   68.    3.    1. ]
 [ 83.5  71.5   2.    2. ]
 [ 73.   66.3   1.    0. ]
 [ 70.   54.    2.    2. ]
 [ 79.7  60.3   7.    2. ]
 [ 87.   75.7   2.    3. ]
 [ 76.7  75.    2.    6. ]
 [ 83.   72.3   1.    0. ]
 [ 79.7  64.   10.    3. ]
 [ 79.3  61.7   0.    8. ]
 [ 83.3  72.    5.    1. ]
 [ 87.   66.    2.    2. ]
 [ 69.5  61.8   1.    2. ]
 [ 78.3  58.8   7.    7. ]
 [ 86.5  64.8   3.    4. ]
 [ 84.3  76.8   3.    5. ]
 [ 85.   65.    3.    0. ]
 [ 85.8  68.    8.   17. ]
 [ 86.   68.5   5.   11. ]
 [ 74.   57.8  22.   11. ]
 [ 81.6  72.6   7.    8. ]
 [ 78.4  61.6   3.   15. ]
 [ 81.4  62.2  10.    1. ]
 [ 79.4  58.   14.    3. ]
 [ 87.   65.    2.    6. ]
 [ 86.8  64.8  11.    2. ]
 [ 81.4  74.    3.    4. ]
 [ 90.2  83.4   2.   11. ]
 [ 89.4  73.6   4.    6. ]
 [ 87.4  70.2   6.    8. ]
 [ 81.8  73.3   6.   12. ]
 [ 78.8  63.7   3.   22. ]
 [ 80.8  59.5   2.    4. ]
 [ 80.5  74.5   3.    5. ]
 [ 83.3  67.8  11.    4. ]
 [ 77.   61.    2.    5. ]
 [ 87.8  69.5  12.    7. ]
 [ 77.2  56.7   3.    3. ]
 [ 80.2  63.   22.    4. ]
 [ 71.7  69.    7.   10. ]
 [ 82.7  71.    6.   10. ]
 [ 83.6  73.3   9.    6. ]
 [ 79.3  63.1   2.    7. ]
 [ 90.   70.4   4.    5. ]
 [ 75.1  59.1  16.   10. ]
 [ 76.   57.6   2.    7. ]
 [ 71.7  69.1   2.   13. ]
 [ 81.9  66.4   6.    6. ]
 [ 81.7  65.    5.    3. ]
 [ 74.1  55.7  11.    5. ]
 [ 87.9  74.7  14.   17. ]
 [ 86.4  83.7   3.   12. ]
 [ 71.1  51.9   6.    6. ]
 [ 77.5  75.4   5.   15. ]
 [ 81.1  67.8   9.   11. ]
 [ 83.4  62.3  24.   11. ]
 [ 79.8  60.4  12.    4. ]
 [ 67.1  47.7  15.    6. ]
 [ 70.1  54.8  11.   17. ]
 [ 77.8  58.9   2.    5. ]
 [ 89.9  70.8  15.   23. ]
 [ 87.9  68.9   2.   10. ]
 [ 87.6  65.6   9.    5. ]
 [ 89.1  69.4  10.    3. ]
 [ 85.2  64.4  10.   14. ]
 [ 80.   60.4   5.   10. ]
 [ 79.6  66.9   9.   28. ]
 [ 85.7  71.1  10.   13. ]
 [ 79.5  61.9   8.   14. ]
 [ 82.4  63.7  14.    4. ]
 [ 79.6  62.8  12.    6. ]
 [ 79.6  64.6   6.   17. ]
 [ 84.9  63.7   5.   17. ]
 [ 78.5  59.9  16.   15. ]
 [ 86.7  64.1   8.    5. ]
 [ 82.   61.1  78.   28. ]
 [ 80.4  66.4   4.    5. ]
 [ 80.2  57.5  10.   21. ]
 [ 78.   55.4   7.   11. ]
 [ 84.2  68.5  13.    9. ]
 [ 78.   56.7   9.   12. ]
