0
"[[ 99.    1.9]
 [ 66.    2.7]
 [ 65.    1.4]
 ...
 [ 66.    2. ]
 [133.   20.2]
 [ 66.    2.9]]"
"[[2.66000e+02 3.38000e+01]
 [6.60000e+01 5.10000e+00]
 [6.60000e+01 1.05000e+01]
 [6.60000e+01 4.10000e+00]
 [7.10000e+01 1.04000e+01]
 [6.20000e+01 2.30000e+00]
 [6.60000e+01 2.40000e+00]
 [6.60000e+01 1.00000e+00]
 [6.60000e+01 4.50000e+00]
 [6.60000e+01 2.60000e+00]
 [1.65000e+02 7.10000e+00]
 [6.60000e+01 6.00000e+00]
 [1.66000e+02 1.10000e+01]
 [6.60000e+01 4.80000e+00]
 [1.99000e+02 1.75000e+01]
 [1.33000e+02 1.66000e+01]
 [6.60000e+01 1.06000e+01]
 [6.60000e+01 9.40000e+00]
 [1.33000e+02 1.26000e+01]
 [6.60000e+01 2.80000e+00]
 [1.33000e+02 1.72000e+01]
 [6.60000e+01 6.80000e+00]
 [6.60000e+01 2.90000e+00]
 [9.90000e+01 1.56000e+01]
 [1.33000e+02 2.23000e+01]
 [1.99000e+02 3.04000e+01]
 [6.60000e+01 9.80000e+00]
 [6.60000e+01 1.23000e+01]
 [6.60000e+01 5.70000e+00]
 [6.80000e+01 2.20000e+00]
 [6.70000e+01 1.10000e+01]
 [1.32000e+02 1.48000e+01]
 [6.60000e+01 2.30000e+00]
 [6.50000e+01 9.10000e+00]
 [6.60000e+01 5.10000e+00]
 [9.90000e+01 1.59000e+01]
 [9.90000e+01 1.32000e+01]
 [6.60000e+01 8.40000e+00]
 [1.33000e+02 6.10000e+00]
 [1.33000e+02 2.65000e+01]
 [7.00000e+01 7.00000e+00]
 [6.60000e+01 1.70000e+01]
 [6.60000e+01 2.80000e+00]
 [1.32000e+02 2.29000e+01]
 [9.90000e+01 1.67000e+01]
 [1.32000e+02 1.68000e+01]
 [9.90000e+01 2.07000e+01]
 [6.60000e+01 3.67400e+02]
 [6.60000e+01 1.25800e+02]
 [6.60000e+01 5.45800e+02]
 [1.33000e+02 8.80000e+00]
 [1.33000e+02 1.14000e+01]
 [6.60000e+01 3.00000e+00]
 [1.99000e+02 2.19800e+02]
 [9.90000e+01 7.26000e+01]
 [6.50000e+01 6.00000e-01]
 [6.60000e+01 1.39000e+01]
 [9.90000e+01 1.76000e+01]
 [6.60000e+01 6.00000e-01]
 [6.60000e+01 5.40000e+00]
 [1.99000e+02 3.70000e+01]
 [1.33000e+02 1.50000e+01]
 [6.60000e+01 1.20000e+01]
 [6.60000e+01 9.90000e+00]
 [6.60000e+01 1.06000e+01]
 [9.90000e+01 6.70000e+00]
 [6.50000e+01 3.60000e+00]
 [6.60000e+01 8.50000e+00]
 [1.66000e+02 2.49000e+01]
 [1.32000e+02 8.10000e+00]
 [6.60000e+01 1.50000e+00]
 [6.60000e+01 4.60000e+00]
 [6.30000e+01 1.90000e+00]
 [6.60000e+01 4.00000e+00]
 [6.60000e+01 1.90000e+00]
 [6.60000e+01 3.10000e+00]
 [6.60000e+01 6.00000e+00]
 [6.60000e+01 3.50000e+00]
 [9.90000e+01 5.90000e+00]
 [6.60000e+01 2.90000e+00]
 [1.33000e+02 1.65000e+01]
 [6.60000e+01 1.90000e+00]
 [1.99000e+02 2.63000e+01]
 [6.60000e+01 4.60000e+00]
 [9.90000e+01 1.13000e+01]
 [6.60000e+01 2.20000e+00]
 [6.60000e+01 3.35944e+04]
 [6.60000e+01 2.52200e+02]
 [9.80000e+01 2.53100e+02]
 [9.90000e+01 1.95000e+01]
 [6.50000e+01 6.00000e-01]
 [6.60000e+01 9.50000e+00]
 [1.66000e+02 1.09000e+01]
 [6.60000e+01 5.10000e+00]
 [1.32000e+02 4.44000e+01]
 [6.60000e+01 2.20570e+03]
 [6.60000e+01 1.43300e+02]
 [6.60000e+01 9.85400e+02]
 [3.32000e+02 2.12600e+02]
 [6.60000e+01 2.76000e+01]
 [6.60000e+01 1.31000e+01]
 [6.60000e+01 1.30000e+00]
 [6.60000e+01 3.03800e+02]
 [6.60000e+01 2.98100e+02]
 [1.32000e+02 2.29800e+02]
 [6.60000e+01 5.57000e+02]
 [6.60000e+01 2.76600e+02]
 [6.60000e+01 5.10000e+00]
 [6.60000e+01 2.46000e+01]
 [6.60000e+01 4.72200e+02]
 [6.60000e+01 7.90000e+00]
 [6.60000e+01 2.30000e+00]
 [6.60000e+01 1.43900e+02]
 [1.31000e+02 1.40800e+02]
 [1.33000e+02 3.69780e+03]
 [9.90000e+01 9.30000e+00]
 [6.60000e+01 2.00000e+00]
 [6.60000e+01 1.10000e+00]
 [6.60000e+01 4.43400e+02]
 [6.60000e+01 5.60600e+02]
 [1.66000e+02 1.67870e+03]
 [6.60000e+01 5.65200e+02]
 [9.90000e+01 2.98800e+02]
 [6.60000e+01 3.66900e+02]
 [6.60000e+01 1.00065e+04]
 [6.60000e+01 8.10000e+00]
 [9.90000e+01 1.62000e+01]
 [1.33000e+02 1.15000e+01]
 [6.60000e+01 5.60000e+00]
 [6.60000e+01 3.80000e+00]
 [6.60000e+01 5.30000e+00]
 [9.90000e+01 1.55500e+02]
 [1.33000e+02 1.71500e+02]
 [6.60000e+01 3.12400e+02]
 [1.66000e+02 3.14700e+02]
 [6.60000e+01 6.90000e+01]
 [6.60000e+01 5.96107e+04]
 [6.60000e+01 1.33000e+01]
 [1.00000e+02 4.05400e+02]
 [1.66000e+02 5.02200e+02]
 [9.90000e+01 9.80000e+00]
 [6.60000e+01 3.10000e+00]
 [6.60000e+01 8.20000e+00]
 [6.60000e+01 6.70000e+00]
 [6.60000e+01 1.52000e+01]
 [6.60000e+01 8.55600e+02]
 [6.60000e+01 8.00000e+00]
 [6.60000e+01 6.49000e+01]
 [6.60000e+01 3.80000e+00]
 [1.33000e+02 4.70000e+00]
 [6.60000e+01 3.08000e+02]
 [6.60000e+01 2.05000e+01]
 [6.60000e+01 3.82500e+02]
 [6.20000e+01 3.40600e+02]
 [9.90000e+01 1.66000e+01]
 [6.60000e+01 1.58000e+01]
 [1.32000e+02 5.44000e+01]
 [6.60000e+01 1.21000e+01]
 [6.60000e+01 1.40000e+01]
 [6.60000e+01 7.00000e-01]
 [6.60000e+01 5.02000e+01]
 [6.50000e+01 1.38000e+01]
 [1.33000e+02 1.53000e+02]
 [1.33000e+02 1.06990e+03]
 [6.60000e+01 2.23650e+03]
 [1.33000e+02 1.82080e+03]
 [6.60000e+01 4.86800e+02]
 [6.60000e+01 2.68550e+03]
 [6.60000e+01 7.30000e+00]
 [9.90000e+01 1.36000e+01]
 [6.60000e+01 1.10000e+00]
 [6.60000e+01 1.16000e+01]
 [6.60000e+01 1.70000e+00]
 [6.60000e+01 1.40000e+00]
 [9.60000e+01 4.40000e+00]
 [6.60000e+01 2.20000e+00]
 [6.60000e+01 1.90000e+00]
 [6.60000e+01 2.10000e+00]
 [6.60000e+01 1.90000e+00]
 [6.60000e+01 1.90000e+00]
 [6.60000e+01 1.80000e+00]
 [1.01000e+02 2.70000e+00]
 [6.60000e+01 1.60000e+00]
 [1.66000e+02 6.20000e+00]
 [6.60000e+01 2.20000e+00]
 [6.60000e+01 7.30000e+00]
 [6.60000e+01 5.00000e-01]
 [6.60000e+01 1.44000e+01]
 [6.60000e+01 8.50000e+00]
 [6.60000e+01 3.80000e+00]
 [1.00000e+02 9.00000e-01]
 [6.60000e+01 7.00000e-01]
 [6.60000e+01 9.40000e+00]
 [6.60000e+01 1.00000e+00]
 [6.60000e+01 1.00000e+00]
 [6.60000e+01 2.30000e+00]
 [6.60000e+01 1.12000e+01]
 [6.70000e+01 2.20000e+00]
 [9.90000e+01 3.70000e+00]
 [6.60000e+01 1.60000e+00]
 [6.60000e+01 3.00000e+00]
 [6.60000e+01 1.60000e+00]
 [1.00000e+02 4.15900e+03]
 [1.99000e+02 3.90760e+03]
 [2.32000e+02 2.28600e+02]
 [6.60000e+01 1.28200e+02]
 [1.33000e+02 1.75100e+02]
 [6.60000e+01 6.90000e+00]
 [6.60000e+01 6.50000e+01]
 [6.60000e+01 6.58000e+01]
 [6.60000e+01 1.10000e+00]
 [6.60000e+01 2.10000e+00]
 [6.40000e+01 1.70000e+00]
 [6.60000e+01 2.80000e+00]
 [6.50000e+01 1.20000e+00]
 [6.60000e+01 2.50000e+00]
 [6.60000e+01 7.90000e+00]
 [6.60000e+01 1.80000e+00]
 [6.60000e+01 2.80000e+00]
 [6.60000e+01 1.30000e+00]
 [6.60000e+01 1.30000e+00]
 [6.50000e+01 2.80000e+00]
 [6.60000e+01 5.20000e+00]
 [6.60000e+01 1.10000e+00]
 [6.60000e+01 4.60000e+00]
 [6.60000e+01 4.20000e+00]
 [1.00000e+02 1.01000e+01]
 [6.60000e+01 4.00000e+00]
 [6.60000e+01 4.60000e+00]
 [6.60000e+01 5.50000e+00]
 [6.60000e+01 5.80000e+00]
 [6.60000e+01 2.60000e+00]
 [6.80000e+01 8.00000e-01]
 [6.60000e+01 3.90000e+00]
 [9.90000e+01 4.50000e+00]
 [6.60000e+01 5.70000e+00]
 [6.80000e+01 2.80000e+00]
 [9.90000e+01 8.53700e+02]
 [7.40000e+01 3.40000e+00]
 [9.90000e+01 1.96800e+02]
 [1.32000e+02 7.49900e+02]
 [6.60000e+01 1.60100e+02]
 [6.60000e+01 1.74190e+03]
 [6.60000e+01 2.42000e+01]
 [6.60000e+01 1.10000e+01]
 [6.40000e+01 7.49100e+02]
 [1.33000e+02 1.59040e+03]
 [6.50000e+01 2.10483e+04]
 [1.99000e+02 1.46610e+03]
 [6.60000e+01 1.96100e+02]
 [6.60000e+01 4.90700e+02]
 [1.32000e+02 4.93000e+02]
 [6.60000e+01 4.12000e+01]
 [6.60000e+01 1.30000e+00]
 [6.70000e+01 6.05100e+02]
 [9.90000e+01 2.96900e+02]
 [6.60000e+01 8.50000e+00]
 [6.60000e+01 1.12000e+01]
 [6.60000e+01 2.47000e+01]
 [2.66000e+02 1.24220e+03]
 [6.60000e+01 7.90600e+02]
 [6.60000e+01 1.74810e+03]
 [9.90000e+01 5.74530e+03]
 [9.90000e+01 7.82050e+03]
 [6.60000e+01 2.37800e+02]
 [6.60000e+01 2.06000e+01]
 [6.60000e+01 9.40000e+00]
 [3.65000e+02 6.13000e+02]
 [6.60000e+01 9.00000e-01]
 [6.60000e+01 3.86700e+02]
 [6.60000e+01 2.40100e+02]
 [6.60000e+01 6.30000e+00]
 [6.60000e+01 3.50100e+02]
 [6.30000e+01 1.33800e+02]
 [6.60000e+01 6.10000e+00]
 [9.90000e+01 1.90000e+01]
 [6.60000e+01 1.93900e+02]
 [6.60000e+01 2.51400e+02]
 [6.60000e+01 8.30000e+00]
 [1.66000e+02 1.27990e+03]
 [9.90000e+01 3.60000e+00]
 [9.90000e+01 3.89300e+02]
 [9.90000e+01 1.27100e+02]
 [6.60000e+01 1.98600e+02]
 [6.60000e+01 1.05000e+01]
 [1.34000e+02 1.42900e+02]
 [6.70000e+01 5.02700e+02]
 [6.60000e+01 8.30000e+00]
 [9.90000e+01 1.83000e+01]
 [6.60000e+01 4.50000e+00]
 [6.60000e+01 3.80000e+00]
 [6.60000e+01 6.90000e+00]
 [6.60000e+01 1.40000e+00]
 [6.60000e+01 6.60000e+00]
 [9.80000e+01 5.70000e+00]
 [6.60000e+01 1.60000e+00]
 [6.60000e+01 7.10000e+00]
 [6.60000e+01 7.40000e+00]
 [6.60000e+01 4.40000e+00]
 [6.60000e+01 4.50000e+00]
 [9.90000e+01 6.00000e+00]
 [6.60000e+01 3.20000e+00]
 [6.60000e+01 1.17000e+01]
 [6.60000e+01 8.30000e+00]
 [9.90000e+01 4.00000e+00]
 [6.60000e+01 7.00000e-01]
 [6.60000e+01 2.50000e+00]
 [6.60000e+01 3.20000e+00]
 [6.60000e+01 2.00000e+00]
 [1.66000e+02 4.30000e+00]
 [6.70000e+01 1.70000e+00]
 [6.60000e+01 3.40000e+00]
 [6.60000e+01 2.10000e+00]
 [9.90000e+01 4.60000e+00]
 [6.60000e+01 2.00000e+00]
 [6.60000e+01 1.00000e+00]
 [6.60000e+01 1.90000e+00]
 [6.70000e+01 1.60000e+00]]"
"[[6.6000e+01 3.7000e+00]
 [6.6000e+01 3.3130e+02]
 [6.6000e+01 2.0270e+02]
 [6.6000e+01 1.5503e+03]
 [6.6000e+01 2.2100e+01]
 [6.6000e+01 3.7700e+01]
 [6.6000e+01 4.2600e+01]
 [6.6000e+01 3.1000e+00]
 [6.6000e+01 5.6000e+00]
 [6.7000e+01 1.2000e+00]
 [6.5000e+01 7.2000e+00]
 [6.6000e+01 6.0000e-01]
 [7.1000e+01 4.7000e+00]
 [6.6000e+01 5.5000e+00]
 [6.6000e+01 1.0100e+01]
 [9.9000e+01 1.5700e+01]
 [6.6000e+01 3.9000e+00]
 [6.5000e+01 7.0000e-01]
 [6.7000e+01 6.0000e-01]
 [6.6000e+01 1.0000e+00]
 [6.6000e+01 1.2000e+00]
 [6.6000e+01 7.7000e+00]
 [6.5000e+01 4.3000e+00]
 [6.6000e+01 1.0000e+00]
 [6.6000e+01 6.0000e-01]
 [6.6000e+01 1.1900e+01]
 [6.6000e+01 1.5700e+01]
 [1.0000e+02 1.5800e+01]
 [6.4000e+01 1.3000e+00]
 [6.6000e+01 1.7000e+00]
 [9.9000e+01 1.2600e+01]
 [6.6000e+01 2.6000e+00]
 [6.6000e+01 3.2000e+00]
 [6.6000e+01 4.5000e+00]
 [9.9000e+01 2.2000e+00]
 [6.6000e+01 3.3000e+00]
 [6.5000e+01 4.0800e+01]
 [6.6000e+01 2.6000e+00]
 [6.6000e+01 1.2700e+01]
 [6.6000e+01 1.8000e+00]
 [6.6000e+01 1.9000e+00]
 [6.5000e+01 6.4000e+00]
 [6.6000e+01 4.1000e+00]
 [6.6000e+01 1.8100e+01]
 [6.6000e+01 1.2600e+01]
 [6.6000e+01 8.3000e+00]
 [6.6000e+01 4.0000e+00]
