0
"[[122.7  86.    0.   16. ]
 [118.6  90.8   2.   13. ]
 [121.   96.3   2.    3. ]
 ...
 [ 79.   59.3   4.    1. ]
 [ 49.   33.    5.   18. ]
 [ 82.8  67.   19.    3. ]]"
"[[118.5  87.    7.    2. ]
 [115.9  87.5  19.    4. ]
 [106.8  91.2  16.    6. ]
 ...
 [101.9  78.4   4.    7. ]
 [102.7  82.5   3.    3. ]
 [103.3  81.8   2.   16. ]]"
"[[116.9  97.3   2.    9. ]
 [119.7  98.7   0.    0. ]
 [120.6 100.4   5.    5. ]
 ...
 [ 97.6  79.3   1.    3. ]
 [110.1  87.7   3.    6. ]
 [118.6  94.1   1.    8. ]]"
"[[120.8  81.6   5.   15. ]
 [123.5  80.3   7.    4. ]
 [121.5  80.    6.   12. ]
 ...
 [130.2  67.   22.    9. ]
 [126.8  63.8  11.    9. ]
 [124.   65.    4.    3. ]]"
"[[ 94.6  58.8   7.   11. ]
 [110.4  72.    6.   22. ]
 [ 91.6  69.8  18.   16. ]
 ...
 [ 52.7  27.    6.   17. ]
 [ 34.7  27.3   7.    7. ]
 [ 48.3  26.   24.   26. ]]"
"[[93.5 53.  19.  59. ]
 [98.1 49.9 46.  12. ]
 [20.2  9.2  5.   4. ]
 ...
 [ 0.   0.   6.   7. ]
 [ 0.   0.   0.   0. ]
 [ 0.   0.   2.   4. ]]"
"[[ 94.7  71.7   9.    7. ]
 [ 96.1  74.3  11.    1. ]
 [101.7  77.    2.    6. ]
 [109.5  85.5   0.    9. ]
 [ 91.3  66.3   5.    8. ]
 [ 98.3  68.3  21.   14. ]
 [ 99.8  71.5  11.   21. ]
 [101.   71.    2.    3. ]
 [110.   83.    1.    8. ]
 [ 96.3  79.    1.    0. ]
 [ 94.4  67.6   4.    9. ]
 [ 98.7  67.3   0.    3. ]
 [103.   56.3   3.    5. ]
 [105.5  55.3   1.    6. ]
 [108.   57.9  28.    8. ]
 [110.8  63.9  21.    9. ]
 [111.4  71.1   8.    6. ]
 [103.3  70.8  10.    7. ]
 [101.8  68.2   4.   13. ]
 [102.   67.3   7.    9. ]
 [ 58.   33.8   5.    3. ]
