0
"[[ 66.   13.1]
 [ 99.   13.6]
 [ 66.    0.4]
 [ 66.    0.5]
 [ 66.   14.1]
 [ 66.   11.6]
 [ 65.    1.2]
 [ 99.    0.9]
 [ 66.    6.9]
 [ 66.    5.4]
 [ 66.    2.9]
 [ 66.    9.9]
 [ 99.    1.5]
 [101.    2.1]
 [ 66.    1.6]
 [ 99.    0.8]
 [ 66.    0.8]
 [ 66.    6.5]
 [ 99.    1.6]
 [ 66.    6.2]
 [ 66.    0.7]
 [ 66.   10.9]
 [ 66.    3.5]
 [ 66.    1.9]
 [ 66.   11. ]
 [ 66.    0.7]
 [ 66.    1.4]
 [ 98.   12.8]
 [ 66.    1.2]
 [ 66.    2.9]
 [100.   15.4]
 [ 66.    1.7]
 [ 66.    0.9]
 [ 66.    2.9]
 [ 99.    1.5]
 [133.    1.1]
 [ 66.    1.8]
 [ 66.    4.3]
 [132.    1.1]
 [ 66.   16.2]
 [ 66.    1.9]
 [ 65.    3.8]
 [ 66.    8.8]
 [ 66.    0.4]
 [ 66.    1.9]
 [ 66.    3.4]
 [ 99.    0.9]
 [100.   12.3]
 [ 66.    1.6]
 [ 66.   10.9]
 [ 66.    2.5]
 [ 66.    1. ]
 [ 99.    9.4]
 [ 66.    1. ]
 [ 66.    5.7]
 [ 66.    0.5]
 [ 65.    0.7]
 [ 66.    0.5]
 [ 66.    1.7]
 [133.    9.8]
 [ 66.    0.5]
 [ 66.    6.7]
 [ 99.    8.2]
 [ 66.    5.2]
 [ 66.    0.6]
 [ 66.    1.7]
 [ 66.    1.8]
 [ 66.    1. ]
 [ 66.    0.6]
 [133.    1.9]
 [ 66.    0.6]
 [ 66.    0.9]
 [ 66.    0.7]
 [ 99.    2.8]
 [ 67.    1.8]
 [ 66.    1.5]
 [ 66.   11.8]
 [ 66.    6. ]
 [ 66.    0.6]
 [ 66.    1. ]
 [ 66.    2.5]
 [ 66.    6.9]
 [ 99.   15.7]
 [ 66.    2.4]
 [ 66.    9.4]
 [ 66.    2.7]
 [ 66.   11.7]
 [ 66.    1.1]
 [ 66.    1. ]
 [ 66.    1.7]
 [ 66.    0.9]
 [ 66.    0.6]
 [ 66.    1.1]
 [ 66.    0.9]
 [ 66.   11.4]
 [ 65.    3.7]
 [ 99.   14.7]
 [ 99.    1.4]
 [166.    1.8]
 [ 66.    0.8]
 [132.    1.6]
 [ 66.    1.4]
 [ 66.    0.3]
 [ 99.   16.7]
 [133.    5. ]
 [ 99.    3.3]
 [ 66.    5.8]
 [ 99.   14.2]
 [ 66.    2.2]
 [ 99.    0.9]
 [ 66.    0.6]
 [ 66.    1.3]
 [ 66.    0.7]
 [133.    6.5]
 [ 66.    3.3]
 [ 99.    0.7]
 [ 66.    3.3]
 [ 66.    2. ]
 [ 66.    1.8]
 [ 99.   11.3]
 [ 99.   15.4]
 [ 66.    1.6]
 [106.    0.9]
 [ 66.    1.9]
 [ 66.    0.7]
 [ 66.    0.5]
 [ 66.   10.8]
 [ 66.    4.4]
 [ 66.    0.5]
 [ 65.    6.3]
 [ 66.    0.5]
 [ 66.    2.8]
 [ 66.    0.7]
 [ 68.   12.5]
 [ 66.    1.1]
 [ 66.    3.2]
 [ 66.    0.6]
 [ 66.    0.4]
 [ 99.   12.8]
 [ 66.    2.3]
 [ 99.    5.7]
 [ 99.    4.4]
 [ 67.    8.4]
 [ 99.    8.6]
 [ 66.    9.4]
 [ 99.    3.8]
 [ 66.   10.9]
 [ 99.    2.5]
 [100.    0.7]
 [ 99.    4.8]
 [ 66.    0.8]
 [ 66.    4.1]
 [100.    0.9]
 [ 66.   14.8]
 [ 66.    0.6]
 [ 66.    1.2]
 [ 66.    0.4]
 [133.    1.5]
 [102.   16.1]
 [ 99.   20.6]
 [ 99.    0.8]
 [132.    1.1]
 [ 66.   16.2]
 [ 66.    1.2]
 [ 99.   16.3]
 [ 66.    9.9]
 [100.    0.6]
 [ 66.    1.1]
 [ 66.    0.6]
 [ 66.    0.4]
 [ 66.    3. ]
 [ 66.    1.3]
 [ 64.    0.5]
 [ 68.    9.5]
 [ 66.    2.1]
 [ 99.    3.2]
 [ 99.   13.3]
 [ 66.    3.7]
 [100.    0.7]
 [100.    0.8]
 [ 66.    2.4]
 [ 66.    2.9]
 [ 66.    2.1]
 [ 66.    1.4]
 [ 67.    0.9]
 [ 66.    0.5]
 [ 99.   15.8]
 [ 66.    9.9]
 [133.    3.6]
 [ 66.    1.9]
 [ 66.    1.9]
 [ 66.    1.2]
 [ 66.    1. ]
 [ 66.    9.6]
 [ 66.    3.8]
 [ 66.    2.1]
 [101.   13.4]
 [ 66.    1.4]
 [ 66.    1.2]
 [133.    2.8]
 [ 66.    1.2]
 [ 65.    1. ]
 [ 66.    1. ]
 [ 64.    1.1]
 [ 99.    3. ]
 [ 68.    0.7]
 [ 62.   15. ]
 [ 99.    3.6]
 [ 66.    2.1]
 [ 66.    2.3]
